,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.945945946,0,0,1,1,0
0,0.1,35,13,31,2,0.945945946,0.704545455,0.729166667,0.939393939,0.295454545,0.6504914
0,0.22,35,12,32,2,0.945945946,0.727272727,0.744680851,0.941176471,0.272727273,0.673218673
0,0.364,33,11,33,4,0.891891892,0.75,0.75,0.891891892,0.25,0.641891892
0,0.5368,32,8,36,5,0.864864865,0.818181818,0.8,0.87804878,0.181818182,0.683046683
0,0.74416,32,8,36,5,0.864864865,0.818181818,0.8,0.87804878,0.181818182,0.683046683
0,0.992992,32,7,37,5,0.864864865,0.840909091,0.820512821,0.880952381,0.159090909,0.705773956
0,1.2915904,31,6,38,6,0.837837838,0.863636364,0.837837838,0.863636364,0.136363636,0.701474201
0,1.64990848,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,2.079890176,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,2.595868211,31,2,42,6,0.837837838,0.954545455,0.939393939,0.875,0.045454545,0.792383292
0,3.215041853,30,1,43,7,0.810810811,0.977272727,0.967741935,0.86,0.022727273,0.788083538
0,3.958050224,28,1,43,9,0.756756757,0.977272727,0.965517241,0.826923077,0.022727273,0.734029484
0,4.849660269,28,1,43,9,0.756756757,0.977272727,0.965517241,0.826923077,0.022727273,0.734029484
0,5.919592323,27,1,43,10,0.72972973,0.977272727,0.964285714,0.811320755,0.022727273,0.707002457
0,7.203510787,24,1,43,13,0.648648649,0.977272727,0.96,0.767857143,0.022727273,0.625921376
0,8.744212945,23,1,43,14,0.621621622,0.977272727,0.958333333,0.754385965,0.022727273,0.598894349
0,10.59305553,23,1,43,14,0.621621622,0.977272727,0.958333333,0.754385965,0.022727273,0.598894349
0,12.81166664,23,1,43,14,0.621621622,0.977272727,0.958333333,0.754385965,0.022727273,0.598894349
0,15.47399997,22,1,43,15,0.594594595,0.977272727,0.956521739,0.74137931,0.022727273,0.571867322
0,18.66879996,22,1,43,15,0.594594595,0.977272727,0.956521739,0.74137931,0.022727273,0.571867322
0,22.50255995,20,1,43,17,0.540540541,0.977272727,0.952380952,0.716666667,0.022727273,0.517813268
0,27.10307195,19,1,43,18,0.513513514,0.977272727,0.95,0.704918033,0.022727273,0.490786241
0,32.62368633,17,1,43,20,0.459459459,0.977272727,0.944444444,0.682539683,0.022727273,0.436732187
0,39.2484236,17,1,43,20,0.459459459,0.977272727,0.944444444,0.682539683,0.022727273,0.436732187
0,47.19810832,17,1,43,20,0.459459459,0.977272727,0.944444444,0.682539683,0.022727273,0.436732187
0,56.73772999,17,1,43,20,0.459459459,0.977272727,0.944444444,0.682539683,0.022727273,0.436732187
0,68.18527598,17,1,43,20,0.459459459,0.977272727,0.944444444,0.682539683,0.022727273,0.436732187
0,81.92233118,16,1,43,21,0.432432432,0.977272727,0.941176471,0.671875,0.022727273,0.40970516
0,98.40679742,16,1,43,21,0.432432432,0.977272727,0.941176471,0.671875,0.022727273,0.40970516
0,118.1881569,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,0,0,0,0,0,0,1,1,0,0,0
